"Date","Year","Month","RF"
"1963/01","1963","01","10.8"
"1963/02","1963","02","3.8"
"1963/03","1963","03","9.4"
"1963/04","1963","04","17.9"
"1963/05","1963","05","21"
"1963/06","1963","06","8.1"
"1963/07","1963","07","8.8"
"1963/08","1963","08","3.6"
"1963/09","1963","09","6.9"
"1963/10","1963","10","10.7"
"1963/11","1963","11","6.4"
"1963/12","1963","12","3.8"
"1964/01","1964","01","9.1"
"1964/02","1964","02","10.8"
"1964/03","1964","03","10.3"
"1964/04","1964","04","8.6"
"1964/05","1964","05","7.5"
"1964/06","1964","06","2.4"
"1964/07","1964","07","7.7"
"1964/08","1964","08","4.2"
"1964/09","1964","09","7"
"1964/10","1964","10","7.9"
"1964/11","1964","11","32.2"
"1964/12","1964","12","9.6"
"1965/01","1965","01","9.4"
"1965/02","1965","02","10"
"1965/03","1965","03","9.5"
"1965/04","1965","04","15.7"
"1965/05","1965","05","11"
"1965/06","1965","06","4.8"
"1965/07","1965","07","9.8"
"1965/08","1965","08","6.8"
"1965/09","1965","09","2.9"
"1965/10","1965","10","6.1"
"1965/11","1965","11","20.3"
"1965/12","1965","12","15.1"
"1966/01","1966","01","9.8"
"1966/02","1966","02","9.3"
"1966/03","1966","03","3.2"
"1966/04","1966","04","4.1"
"1966/05","1966","05","2.6"
"1966/06","1966","06","2.6"
"1966/07","1966","07","4.9"
"1966/08","1966","08","6.7"
"1966/09","1966","09","5.1"
"1966/10","1966","10","12.8"
"1966/11","1966","11","6.8"
"1966/12","1966","12","11.4"
"1967/01","1967","01","13.9"
"1967/02","1967","02","6.6"
"1967/03","1967","03","16.2"
"1967/04","1967","04","13.3"
"1967/05","1967","05","5.8"
"1967/06","1967","06","6.1"
"1967/07","1967","07","8.1"
"1967/08","1967","08","14.5"
"1967/09","1967","09","2.8"
"1967/10","1967","10","4.2"
"1967/11","1967","11","22.8"
"1967/12","1967","12","12.1"
"1968/01","1968","01","7.9"
"1968/02","1968","02","9.4"
"1968/03","1968","03","14.1"
"1968/04","1968","04","22.1"
"1968/05","1968","05","4.1"
"1968/06","1968","06","3.2"
"1968/07","1968","07","3.9"
"1968/08","1968","08","3.4"
"1968/09","1968","09","7.4"
"1968/10","1968","10","6.7"
"1968/11","1968","11","19.1"
"1968/12","1968","12","21.2"
"1969/01","1969","01","25.4"
"1969/02","1969","02","23.6"
"1969/03","1969","03","19.9"
"1969/04","1969","04","15.6"
"1969/05","1969","05","5.7"
"1969/06","1969","06","2.5"
"1969/07","1969","07","14.3"
"1969/08","1969","08","11.4"
"1969/09","1969","09","5.8"
"1969/10","1969","10","2.9"
"1969/11","1969","11","5.7"
"1969/12","1969","12","25.3"
"1970/01","1970","01","11.3"
"1970/02","1970","02","5.2"
"1970/03","1970","03","3.6"
"1970/04","1970","04","23.2"
"1970/05","1970","05","9.3"
"1970/06","1970","06","2.3"
"1970/07","1970","07","7.2"
"1970/08","1970","08","6.6"
"1970/09","1970","09","4.6"
"1970/10","1970","10","7.1"
"1970/11","1970","11","15.1"
"1970/12","1970","12","31.6"
"1971/01","1971","01","28"
"1971/02","1971","02","5.6"
"1971/03","1971","03","10.9"
"1971/04","1971","04","17.8"
"1971/05","1971","05","3.5"
"1971/06","1971","06","0.3"
"1971/07","1971","07","2.7"
"1971/08","1971","08","2.1"
"1971/09","1971","09","5"
"1971/10","1971","10","3.3"
"1971/11","1971","11","7.1"
"1971/12","1971","12","6.3"
"1972/01","1972","01","3.5"
"1972/02","1972","02","11.6"
"1972/03","1972","03","2.7"
"1972/04","1972","04","14.4"
"1972/05","1972","05","2.1"
"1972/06","1972","06","3.1"
"1972/07","1972","07","3.4"
"1972/08","1972","08","7.8"
"1972/09","1972","09","3.3"
"1972/10","1972","10","6.6"
"1972/11","1972","11","7.2"
"1972/12","1972","12","5.8"
"1973/01","1973","01","4.8"
"1973/02","1973","02","9.3"
"1973/03","1973","03","14.3"
"1973/04","1973","04","4.5"
"1973/05","1973","05","8.5"
"1973/06","1973","06","1.7"
"1973/07","1973","07","2.1"
"1973/08","1973","08","1.3"
"1973/09","1973","09","3.6"
"1973/10","1973","10","4"
"1973/11","1973","11","26.9"
"1973/12","1973","12","6.4"
"1974/01","1974","01","12.8"
"1974/02","1974","02","3"
"1974/03","1974","03","6.6"
"1974/04","1974","04","15.6"
"1974/05","1974","05","5.7"
"1974/06","1974","06","3.8"
"1974/07","1974","07","4.6"
"1974/08","1974","08","2.8"
"1974/09","1974","09","3.4"
"1974/10","1974","10","8"
"1974/11","1974","11","11.9"
"1974/12","1974","12","9.5"
"1975/01","1975","01","12.9"
"1975/02","1975","02","10.1"
"1975/03","1975","03","8.1"
"1975/04","1975","04","5.5"
"1975/05","1975","05","2.3"
"1975/06","1975","06","2.3"
"1975/07","1975","07","3.8"
"1975/08","1975","08","8.2"
"1975/09","1975","09","3.3"
"1975/10","1975","10","5.8"
"1975/11","1975","11","10.5"
"1975/12","1975","12","4.7"
"1976/01","1976","01","13"
"1976/02","1976","02","14.8"
"1976/03","1976","03","14.9"
"1976/04","1976","04","9.9"
"1976/05","1976","05","3.2"
"1976/06","1976","06","2"
"1976/07","1976","07","3.6"
"1976/08","1976","08","3.1"
"1976/09","1976","09","3.5"
"1976/10","1976","10","4.7"
"1976/11","1976","11","6.3"
"1976/12","1976","12","1.4"
"1977/01","1977","01","0.9"
"1977/02","1977","02","5.8"
"1977/03","1977","03","17"
"1977/04","1977","04","20.7"
"1977/05","1977","05","3.5"
"1977/06","1977","06","2"
"1977/07","1977","07","5.7"
"1977/08","1977","08","12.4"
"1977/09","1977","09","2.5"
"1977/10","1977","10","6.2"
"1977/11","1977","11","4.5"
"1977/12","1977","12","6.7"
"1978/01","1978","01","3.9"
"1978/02","1978","02","1.1"
"1978/03","1978","03","10.9"
"1978/04","1978","04","6"
"1978/05","1978","05","8.1"
"1978/06","1978","06","8.5"
"1978/07","1978","07","11.1"
"1978/08","1978","08","10.5"
"1978/09","1978","09","4.7"
"1978/10","1978","10","10.3"
"1978/11","1978","11","10"
"1978/12","1978","12","15.7"
"1979/01","1979","01","41.9"
"1979/02","1979","02","18.7"
"1979/03","1979","03","5.3"
"1979/04","1979","04","7.7"
"1979/05","1979","05","4.1"
"1979/06","1979","06","4.6"
"1979/07","1979","07","5.2"
"1979/08","1979","08","3.1"
"1979/09","1979","09","4.4"
"1979/10","1979","10","3.9"
"1979/11","1979","11","22.1"
"1979/12","1979","12","6.8"
"1980/01","1980","01","19.7"
"1980/02","1980","02","6.9"
"1980/03","1980","03","38.9"
"1980/04","1980","04","24.6"
"1980/05","1980","05","7.2"
"1980/06","1980","06","5.6"
"1980/07","1980","07","18.2"
"1980/08","1980","08","8.6"
"1980/09","1980","09","6.8"
"1980/10","1980","10","6.2"
"1980/11","1980","11","2.6"
"1980/12","1980","12","2.9"
"1981/01","1981","01","2"
"1981/02","1981","02","11.9"
"1981/03","1981","03","4.4"
"1981/04","1981","04","8.2"
"1981/05","1981","05","3.6"
