"Date","Year","Month","RF"
"1978/08","1978","08","4.7"
"1978/09","1978","09","2"
"1978/10","1978","10","3.3"
"1978/11","1978","11","6.9"
"1978/12","1978","12","7.9"
"1979/01","1979","01","26.1"
"1979/02","1979","02","8.7"
"1979/03","1979","03","3"
"1979/04","1979","04","4.2"
"1979/05","1979","05","2.3"
"1979/06","1979","06","5.8"
"1979/07","1979","07","3.3"
"1979/08","1979","08","2.7"
"1979/09","1979","09","1.2"
"1979/10","1979","10","2"
"1979/11","1979","11","20.2"
"1979/12","1979","12","4.6"
"1980/01","1980","01","9.7"
"1980/02","1980","02","4"
"1980/03","1980","03","24.8"
"1980/04","1980","04","13.8"
"1980/05","1980","05","4.4"
"1980/06","1980","06","2.6"
"1980/07","1980","07","3.3"
"1980/08","1980","08","2.3"
"1980/09","1980","09","3.1"
"1980/10","1980","10","4.1"
"1980/11","1980","11","1.7"
"1980/12","1980","12","1.3"
"1981/01","1981","01","0.7"
"1981/02","1981","02","4.1"
"1981/03","1981","03","1.8"
"1981/04","1981","04","1.2"
"1981/05","1981","05","4.4"
"1981/06","1981","06","0.7"
"1981/07","1981","07","1.4"
"1981/08","1981","08","3.7"
"1981/09","1981","09","2.2"
"1981/10","1981","10","3.3"
"1981/11","1981","11","7"
"1981/12","1981","12","6.7"
"1982/01","1982","01","16.1"
"1982/02","1982","02","8.4"
"1982/03","1982","03","11.6"
"1982/04","1982","04","7.9"
"1982/05","1982","05","3.5"
"1982/06","1982","06","3.9"
"1982/07","1982","07","6.8"
"1982/08","1982","08","7.8"
"1982/09","1982","09","2.7"
"1982/10","1982","10","2.9"
"1982/11","1982","11","2.4"
"1982/12","1982","12","6.7"
"1983/01","1983","01","1.1"
"1983/02","1983","02","1.1"
"1983/03","1983","03","1.9"
"1983/04","1983","04","5.6"
"1983/05","1983","05","6.1"
"1983/06","1983","06","3"
"1983/07","1983","07","2.7"
"1983/08","1983","08","2.2"
"1983/09","1983","09","3.1"
"1983/10","1983","10","8.2"
"1983/11","1983","11","1.1"
"1983/12","1983","12","4.6"
"1984/01","1984","01","5.3"
"1984/02","1984","02","3.8"
"1984/03","1984","03","1.5"
"1984/04","1984","04","5.1"
"1984/05","1984","05","2.4"
"1984/06","1984","06","1.2"
"1984/07","1984","07","2.2"
"1984/08","1984","08","1.7"
"1984/09","1984","09","1"
"1984/10","1984","10","0.4"
"1984/11","1984","11","2.6"
"1984/12","1984","12","4.5"
"1985/01","1985","01","4.2"
"1985/02","1985","02","2.4"
"1985/03","1985","03","9.1"
"1985/04","1985","04","4.2"
"1985/05","1985","05","5.1"
"1985/06","1985","06","0.9"
"1985/07","1985","07","2.4"
"1985/08","1985","08","3.4"
"1985/09","1985","09","2.6"
"1985/10","1985","10","3.2"
"1985/11","1985","11","5.6"
"1985/12","1985","12","3.7"
"1986/01","1986","01","5.7"
"1986/02","1986","02","3.2"
"1986/03","1986","03","10.6"
"1986/04","1986","04","17.7"
"1986/05","1986","05","4.8"
"1986/06","1986","06","5.5"
"1986/07","1986","07","3.5"
"1986/08","1986","08","2.8"
"1986/09","1986","09","2.7"
"1986/10","1986","10","4.4"
"1986/11","1986","11","5"
"1986/12","1986","12","6.9"
"1987/01","1987","01","10.9"
"1987/02","1987","02","3.8"
"1987/03","1987","03","2.5"
"1987/04","1987","04","9.4"
"1987/05","1987","05","9.5"
"1987/06","1987","06","4.8"
"1987/07","1987","07","5.7"
"1987/08","1987","08","1.7"
"1987/09","1987","09","2.4"
"1987/10","1987","10","4.2"
"1987/11","1987","11","9.2"
"1987/12","1987","12","6.9"
"1988/01","1988","01","11"
"1988/02","1988","02","4.4"
"1988/03","1988","03","3.5"
"1988/04","1988","04","4.8"
"1988/05","1988","05","2.4"
"1988/06","1988","06","2.1"
"1988/07","1988","07","2.6"
"1988/08","1988","08","3.2"
"1988/09","1988","09","2.5"
"1988/10","1988","10","3.6"
"1988/11","1988","11","3.4"
"1988/12","1988","12","3.9"
"1989/01","1989","01","4.7"
"1989/02","1989","02","9.3"
"1989/03","1989","03","4.6"
"1989/04","1989","04","29.5"
"1989/05","1989","05","6.8"
"1989/06","1989","06","6.9"
"1989/07","1989","07","6.4"
"1989/08","1989","08","2.3"
"1989/09","1989","09","1.1"
